;TrV;Benämning;Definition;Synonym
Komponenter;TC;Universalkraftaggregat;transformerande objekt för elektrisk energi från likspänning och växelspänning till likspänning eller växelspänning;
Komponenter;TCA;Universalkraftaggregat för växelspänning;universalkraftaggregat för växelspänning;kraftaggregat
Komponenter;TCB;Universalkraftaggregat objekt för likspänning;universalkraftaggregat objekt för likspänning;kraftaggregat, laddare
Komponenter;TF;Signalkonverterande objekt;transformerande objekt för signal;
Komponenter;TFA;Förstärkare;signalkonverterande objekt som bibehåller signalformen;repeater
Komponenter;TFB;Antenn;signalkonverterande objekt mellan trådad och trådlös form;balis, fast antenn, hörslinga, kodad spårledning, parabolantenn
Komponenter;TFC;Signalformerare;signalkonverterande objekt mellan trådade former;decoder, dekoder, dsp, mixer
Komponenter;TFD;Optisk sändare/mottagare;signalkonverterande objekt mellan elektrisk och optisk form;
Komponenter;TFE;Telefon;signalkonverterande objekt mellan ljudvågor och elektrisk signal;mobiltelefon
Komponenter;TL;Mekanisk energitransformerande objekt;transformerande objekt för mekanisk energi;
Komponenter;TLA;Växel;mekanisk energitransformerande objekt för hastighet;kraftväxel, växel
Komponenter;TLB;Vridmomentsreglerare;mekanisk energitransformerande objekt för vridmoment;
Komponenter;TLC;Hävstång;mekanisk energitransformerande objekt för kraft;
Komponenter;TM;Massreducerande objekt;transformerande objekt för form genom massreduktion;
Komponenter;TMA;Borrmaskin;massreducerande objekt genom en mekanisk process;hålslagningsmaskin, slipmaskin, såg, vinkelslip
Komponenter;TMB;Värmeskärare;massreducerande objekt genom en termisk process;gasskärare, gasskärmaskin, plasmaskärare
Komponenter;TMC;Etsningsmaskin;massreducerande objekt genom en kemisk process;
Komponenter;TP;Materialomformande objekt;transformerande objekt för form genom omformning;
Komponenter;TPA;Smidesmaskin;materialomformande objekt genom smide;
Komponenter;TPB;Extruderingsmaskin;materialomformande objekt genom extrudering;strängpress
Komponenter;TPC;Sträckmaskin;materialomformande objekt genom sträckning;trådsträckmaskin
Komponenter;TPD;Vals;materialomformande objekt genom valsning;lettringsmaskin, lättringsmaskin, mangel
Komponenter;TPE;Bockningsmaskin;materialomformande objekt genom böjning;
Komponenter;TPF;Elektromagnetisk formningsmaskin;materialomformande objekt genom högenergiapplicering;explosionsformningsmaskin
Komponenter;TR;Växt;transformerande objekt för strålning genom fotosyntes;
Komponenter;TRA;Träd;växt som har en vedartad huvudstam och som vanligen når en höjd av minst 5 m;barrträd, fruktträd, lövträd
Komponenter;TRB;Buske;växt där den vedartade stammen vid markytan delas i flera jämnstarka stammar;barrbuske, buske, bärbuske, häckplanta, lövbuske, planta, prydnadsbuske, ros
Komponenter;TRC;Klätterväxt;växt med långa, ofta veka skott, vilka med hjälp av klätterorgan tar sig upp i ljuset;klängväxt, lian, slingerväxt
Komponenter;TRD;Ört;växt som inte alls eller endast obetydligt är förvedad;annuell, gräsplanta, knölväxt, lökväxt, perenn, pluggplanta
Komponenter;U;Hållande objekt;objekt för positioning av andra objekt;
Komponenter;UA;Fixerande objekt;hållande objekt genom fixering vid en bestämd position;
Komponenter;UAA;Belysningsarmatur;fixerande objekt för ljuskällor;armatur, armaturränna, lampa
Komponenter;UAB;Genomföring;fixerande objekt för kablar;kabelgenomföring, rörgenomföring, takgenomföring
Komponenter;UAC;Isolator;fixerande objekt för ledare;spännisolator, stagisolator
Komponenter;UAD;Vangstycke;fixerande objekt för trappsteg;
Komponenter;UAE;Beklädnadsfäste;fixerande objekt för täckande objekt;bärläkt, dubb, glespanel, nockbräda, putsnät, ströläkt, stödläkt, stödbalk
Komponenter;UAF;Växtstöd;fixerande objekt för växt;pergola, spaljé, trädstöd
Komponenter;UAG;Spårhållare;fixerande objekt för avstånd mellan räler;
Komponenter;UAH;Klämma;fixerande objekt för verktyg eller arbetsstycke;
Komponenter;UAJ;Cykelställ;fixerande objekt för fordon;
Komponenter;UB;Uppbärande objekt;hållande objekt genom uppbärning eller stöd;
Komponenter;UBA;Stödhylla;uppbärandeobjekt mellan diskreta positioner;armaturränna, blindbotten, golvkanal, installationskanal, kabelkanal, kabelränna, kabelstege, kanalskena, landgång, länkplatta, trådränna, trådstege
Komponenter;UBB;Hängare;uppbärandeobjekt i en diskret punkt genom hängning;armaturkrona, brokabel, bärkabel, bärtråd, hängkedja, hängverk, kabelkedja, kedja, klädkrok, krokbräda, kätting, rännkrok, spännkedja, stolparm, tavellist, undertakspendel, undertaksprofil, undertaksväggskena, upphängningsvajer, utliggare, väggskena
Komponenter;UBC;Trappsteg;uppbärandeobjekt i en diskret punkt genom steg;blocksteg, stegpinne
Komponenter;UBD;Stolpe;uppbärandeobjekt i en diskret punkt genom lyftning;baluster, belysningsstolpe, flaggstång, konsol, kontaktledningsstolpe, kraftledningsstolpe, mast, skyltbrygga, stativ, stålbåge, ståndare, trappspindel, trappstock
Komponenter;UBE;Uppbärande möbel;uppbärande objekt för viss nivå genom lyftning;arbetsbänk, bord, brits, bänk, bänkbord, bänkskiva, disk, divan, fåtölj, pall, parkbord, parkbänk, plattform, rastmöbel, receptionsdisk, serveringsdisk, soffa, stol, strykbord, strykbräda, ståbord, säng
Komponenter;UBF;Portal;uppbärandeobjekt  genom två stolpar med förbindande horisontell överliggare;
Komponenter;UC;Omslutande objekt;hållande objekt genom omslutning ;
