;TrV;Benämning;Definition;Synonym
Komponenter;FSF;Korrosionsskydd;omgivningsskyddande objekt genom oxidation av metall;katodiskt skydd, rostskydd, offeranod
Komponenter;FSG;Tätskikt;omgivningsskyddande objekt genom ett icke genomträngligt lager på ytan av ett annat objekt;diffussionsspärr, explosionstätning, fuktspärr, gas- och vätsketätande lager, gastätning, luftspärr, lufttätning, primer, skyddslager, sprutbart membran, strålningstätning, tjärpapp, tunnelduk, tätningslager, underlagspapp, vattenavledande membran, ytpapp, strömningsavskiljande lager, tätande lager, ångspärr
Komponenter;FSH;Kapillärbrytande lager;omgivningsskyddande objekt genom ett kapillärbrytande lager;kapillärskydd
Komponenter;FSJ;Tapet;omgivningsskyddande objekt genom en folie på ytan av ett annat objekt;våtrumstapet
Komponenter;FSZ;Ytskikt;omgivningsskyddande objekt som genom ett ytligt lager täcker ett annat objekt;färg, målning, skyddsfärg, slamning, takputs, tapet, väggputs, våtrumstapet
Komponenter;G;Genererande objekt;objekt för tillhandahållande av ett kontrollerbart flöde;
Komponenter;GA;Mekaniskt elektricitetsgenererande objekt;genererande objekt för elektrisk energi driven av mekanisk energi;
Komponenter;GAA;Växelströmsgenerator;mekaniskt elektricitetsgenererande objekt för växelström;reservelverk, reservkraftaggregat
Komponenter;GAB;Likströmsgenerator;mekaniskt elektricitetsgenererande objekt för likström;
Komponenter;GB;Kemiskt elektricitetsgenererande objekt;genererande objekt för elektrisk energi driven av kemisk reaktion;
Komponenter;GBA;Engångsbatteri;kemiskt elektricitetsgenererande objekt från en icke förnybar källa;
Komponenter;GBB;Bränslecell;kemiskt elektricitetsgenererande objekt som kontinuerligt matas med bränsle och oxidant;
Komponenter;GC;Solel-energigenererande objekt;genererande objekt för elektrisk energi driven av solenergi;
Komponenter;GCA;Kristallin solpanel;solel-energigenererande objekt som utnyttjar halvledande material på kiselplattor;
Komponenter;GCB;Tunnfilmsolpanel;solel-energigenererande objekt som utnyttjar tunnfilmsmaterial;solcell
Komponenter;GF;Signalgenererande objekt;genererande objekt för informationsbärande signaler;
Komponenter;GFA;Elektromagnetisk signalsändare;signalgenererande objekt genom elektromagnetiska vågor;radiosändare, radiovågssändare, tevesändare
Komponenter;GFB;Mekanisk signalsändare;signalgenererande objekt genom vajrar;
Komponenter;GL;Gods- och personflödesgenererande objekt;genererande objekt för kontinuerlig förflyttning av gods och personer;
Komponenter;GLA;Transportband;gods- och personflödesgenererande objekt på ett band;bagageband, bandtransportör, brickband, elevator, hängtransportör, kassaband, rullande trottoar, rullband, rullgångbana, rullramp, vertikaltransportör
Komponenter;GLB;Kedjetransportör;godsflödesgenererande objekt på en kedja;
Komponenter;GLC;Rulltransportör;godsflödesgenererande objekt på rullar;rullbana, rullbord
Komponenter;GLD;Skruvtransportör;godsflödesgenererande objekt med en skruv;lyftskruv, transportskruv
Komponenter;GLE;Rulltrappa;personflödesgenererande objekt med en serie av steg;
Komponenter;GLF;Paternosterverk;godsflödesgenererande objekt med en serie av behållare;
Komponenter;GLG;Vibrationsband;godsflödesgenererande objekt på en vibrerande yta;
Komponenter;GM;Gods- och personförflyttande objekt;genererande objekt för icke kontinuerlig förflyttning av gods och personer;
Komponenter;GMA;Vagn;godsförflyttande objekt horisontellt;bassängvagn, bordsvagn, dispenservagn, kärra, lyftvagn, mattransportvagn
Komponenter;GMB;Telfer;godsförflyttande objekt vertikalt;
Komponenter;GMC;Lyftanordning;gods- och personförflyttande objekt som lyfter och flyttar objekt vertikalt och/eller horisontellt;lyftbord, lyftkran, lyftplattform, patientlyft, plattformslift, saxlift, trapphiss, trapplift, travers, vertikallyft
Komponenter;GMD;Staplare;godsförflyttande objekt som placerar objekt tillsammans;
Komponenter;GME;Vändskiva;godsförflyttande objekt som vänder ett förmedlat flöde;
Komponenter;GMF;Vibrationsmatare;godsförflyttande objekt i ett linjärt flöde genom vibrering;
Komponenter;GP;Vätskeflödesgenererande objekt;genererande objekt för vätskeflöde;pump, vätskepump
Komponenter;GPA;Deplacementspump;vätskeflödesgenererande objekt genom att tvinga instängd vätska till utloppssidan;handpump, doseringspump, provtagningspump
Komponenter;GPB;Dynamisk pump;vätskeflödesgenererande objekt genom ökning av flödeshastigheten genom mekanisk rörelse;cirkulationspump, rotodynamisk pump, tryckstegringspump
Komponenter;GPC;Strålpump;vätskeflödesgenererande objekt genom att överföra rörelseenergin från ett inflöde till ett utflöde;ejektor, vädur, vätskeejektor
Komponenter;GPD;Smörjapparat;vätskeflödesgenererande objekt genom att konvertera lägesenergi till rörelseenergi genom gravitation;rälssmörjningsapparat
Komponenter;GQ;Gasflödesgenererande objekt;genererande objekt för gasflöde;
Komponenter;GQA;Kompressor;gasflödesgenererande objekt genom  att tvinga instängd gas till utloppssidan;blåsmaskin
Komponenter;GQB;Fläkt;gasflödesgenererande objekt genom ökning av flödeshastigheten genom mekanisk rörelse;axialfläkt, brandfläkt, centraldammsugare, cirkulationsfläkt, dammsugare, frånluftsfläkt, garagefläkt, impulsfläkt, jetfläkt, kammarfläkt, kanalfläkt, kylfläkt, köksfläkt, luftridåapparat, propellerfläkt, radialfläkt, spisfläkt, takfläkt, tilluftsfläkt, tunnelfläkt, tvärströmsfläkt
Komponenter;GQC;Gasejektor;gasflödesgenererande objekt genom att överföra rörelseenergin från ett inflöde till ett utflöde;strålpump, ångejektor, ångstrålkompressor, ångstrålventilator
Komponenter;GR;Solvärmefångande objekt;genererande objekt för termisk energi från solenergi;
Komponenter;GRA;Plan solfångare;solvärmefångande objekt till ett flöde;
Komponenter;GRB;Vacuumrörsolfångare;solvärmefångande objekt som genererar ett flöde;
Komponenter;H;Materialbehandlande objekt;objekt för behandling av material;
Komponenter;HJ;Primärformande objekt;materialbehandlande objekt genom formning av original;
Komponenter;HJA;Gjutverktyg;primärformande objekt från flytande tillstånd;
Komponenter;HJB;Pulverpress;primärformande objekt från pulver;
Komponenter;HJC;Spånpress;primärformande objekt från spån eller fibrer;
Komponenter;HK;Ytbehandlande objekt;materialbehandlande objekt genom ytskydd;
Komponenter;HKA;Ytrengörare;ytbehandlande objekt genom preparation;autoklav, desinficeringsmaskin, diskmaskin, högtryckstvätt, sköljmaskin, tvättmaskin, ultraljudsrengörare, ångtvätt
Komponenter;HKB;Ytmodifierare;ytbehandlande objekt genom modifiering;blästringsmaskin, polermaskin, slipmaskin
Komponenter;HKC;Yttäckningsmaskin;ytbehandlande objekt genom täckning;anodiseringsmaskin, sprutmålningsaggregat
Komponenter;HL;Ihopsättande objekt;materialbehandlande objekt genom ihopfogning eller ihopsättning;
Komponenter;HLA;Monteringsrobot;ihopsättande objekt genom fysisk ihopsättning;industrirobot, monteringsmaskin
Komponenter;HLB;Mekanisk ihopfogningsmaskin;ihopsättande objekt genom mekanisk ihopfogning;crimpningsmaskin, falsmaskin, friktionssvets, sickmaskin, sickningsmaskin, trycksvetsmaskin, vikmaskin
Komponenter;HLC;Smältsvets ;ihopsättande objekt genom termisk ihopfogning;argonsvets, bågsvets, gassvets, gasvolframsvets, lasersvets, lödningsmaskin, mag-svets, metallbågsvets, mig-svets, mig/mag-svets, mma-svets, plasmasvets, punktsvets, skyddsgassvets, svetsrobot, tig-svets, ultrasvets
Komponenter;HLD;Limningsmaskin;ihopsättande objekt genom kemisk ihopfogning;
Komponenter;HM;Kraftbaserat separerande objekt;materialbehandlande objekt genom separation av blandande substanser genom kraft;
Komponenter;HMA;Avskiljare;kraftbaserat separerande objekt av partiklar genom gravitation;fettavskiljare, gipsavskiljare, oljeavskiljare, sandfång, sedimentationstank, slamavskiljare
Komponenter;HMB;Centrifug;kraftbaserat separerande objekt av substanser genom centrifugalkraft i en roterande kammare;
Komponenter;HMC;Cyklon;kraftbaserat separerande objekt av substanser genom rotation i en stationär kammare;hydrocyklon
Komponenter;HP;Termiskt separerande objekt;materialbehandlande objekt genom termisk separation av blandade substanser;
Komponenter;HPA;Avfuktare;termiskt separerande objekt som avlägsnar fukt;luftavfuktare, torktumlare, torkskåp
Komponenter;HPB;Destillator;termiskt separerande objekt som genererar gas från en vätska;
Komponenter;HQ;Mekaniskt separerande objekt;materialbehandlande objekt genom mekanisk separation av blandade substanser;
Komponenter;HQA;Filter;mekaniskt separerande objekt för partiklar baserat på deras storlek och/eller form;avdragsanordning, filter, mekaniskt filter, raka, rensgaller, sandfilter, skrapgaller, vattenfilter, ventilationsfilter
Komponenter;HQB;Skimmer;mekaniskt separerande objekt för olja genom skimmning;oljeskimmer
Komponenter;HR;Elektriskt eller magnetiskt separerande objekt;materialbehandlande objekt genom elektromagnetisk separation av blandande substanser;
Komponenter;HRA;Elektrostatfilter;elektriskt eller magnetiskt separerande objekt genom ett elektriskt fält;
Komponenter;HRB;Magnetisk separator;elektriskt eller magnetiskt separerande objekt genom ett magnetiskt fält;
Komponenter;HS;Kemiskt separerande objekt;materialbehandlande objekt genom kemiska separation av blandade substanser;
Komponenter;HSA;Jonbytare;kemiskt separerande objekt genom utbyte av joner;
Komponenter;HSB;Absorbent;kemiskt separerande objekt genom absorption;
Komponenter;HSC;Adsorbent;kemiskt separerande objekt som binder gas;
Komponenter;HU;Mekaniskt sönderdelande objekt;materialbehandlande objekt som åstadkommer mindre former av solida material;
Komponenter;HUA;Hackmaskin;mekaniskt sönderdelande objekt för mjukt, medelhårt, fibröst och segt material;avfallskvarn, livsmedelskvarn, köttkvarn, snabbhack
Komponenter;HUB;Kvarn;mekaniskt sönderdelande objekt för bearbetning till specifika storlekar och former;livsmedelssåg, skärmaskin, såg, köttsåg
Komponenter;HUC;Kross;mekaniskt sönderdelande objekt för mineral;bergkross
Komponenter;HV;Aggregerande objekt;materialbehandlande objekt som åstadkommer större former av substanser;
Komponenter;HVA;Pelletterare;aggregerande objekt som komprimerar eller formar material till pelletform;
Komponenter;HVB;Kolloidator;aggregerande objekt som möjliggör (en process där) kolloidbildning från en vätska;förtjockare
Komponenter;HW;Blandande objekt;materialbehandlande objekt som åstadkommer nya material genom att blanda olika substanser;
Komponenter;HWA;Mixer;blandande objekt som åstadkommer en ny egenskap hos en substans från olika substanser;blandningsmaskin, glassmaskin, omrörare, vispmaskin, kaffebryggare, espressomaskin, kaffemaskin
Komponenter;HWB;Befuktare;blandande objekt som åstadkommer fuktad gas;luftfuktare
Komponenter;HX;Reagerande objekt;materialbehandlande objekt som åstadkommer nya material genom kemisk eller biologisk reaktion;
Komponenter;HXA;Kemisk reaktor;reagerande objekt som åstadkommer och kontrollerar en kemisk reaktion;avsaltningsfilter, avhärdningsfilter, gasifierare
Komponenter;HXB;Biologisk reaktor;reagerande objekt som åstadkommer och kontrollerar en biologisk reaktion;fermenterare, jäsmaskin
Komponenter;K;Informationsbehandlande objekt;objekt för behandling av insignaler i syfte att avge lämpligt output;
Komponenter;KE;Elektrisk signalbehandlande objekt;informationsbehandlande objekt för behandling av elektriska signaler;
Komponenter;KEA;Dator;elektrisk signalbehandlande objekt med mänsklig intervention;datorplatta, kodare, laptop, läsplatta, pc, protokollkonverterare, server, översättare
Komponenter;KEB;Styr- och regleringsenhet;elektrisk signalbehandlande objekt utan mänsklig intervention för kontroll av utrustning;cpu, processor, rtu, brandförsvarstablå, centralapparat, duc, förarpanel, kontrollapparat, larmlagringstablå, manöverpanel, operatörspanel, plc,  reglercentral, signalsäkerhetsställverk, styrapparat, styrenhet, sängbox, telefonväxel, utestation, videoväxel, synkroniseringsrelä
Komponenter;KEC;Kommunikationsenhet;elektrisk signalbehandlande objekt utan mänsklig intervention för input/output till utrustning;adressenhet, I/O-modul, nätverkskort, USB-kort, Firewire-kort
Komponenter;KED;Router;elektrisk signalbehandlande objekt utan mänsklig intervention för vidarebefordran av signaler mellan datanätverk;gateway
Komponenter;KEE;Dataskrivare;elektrisk signalbehandlande objekt utan mänsklig intervention för sparande av input på ett lagringsmedium;bandspelare, cd-skrivare, dcd-skrivare
Komponenter;KF;Elektrisk signalfördelande objekt;signalbehandlande objekt för vidarebefordran av elektriska signaler;
Komponenter;KFA;Relä;elektrisk signalfördelande objekt som vidarebefordrar elektriska signaler utan fördröjning;effektrelä, frekvensrelä, hjälprelä, impedansrelä, signalrelä, strömrelä, spänningsrelä
Komponenter;KFB;Tidsrelä;elektrisk signalfördelande objekt som vidarebefordrar elektriska signaler med fördröjning;
Komponenter;KFC;Repeater;elektrisk signalfördelande objekt som upprepar av insignalen som en förbättrad utsignal;anropsapparat, bildtelefon, förstärkare, hisstelefon, larmtelefon, porttelefon, radioapparat, radiomottagare, radiosändare, telefon, telefonapparat, transceiver
Komponenter;KFD;Nätverksbrygga;elektrisk signalfördelande objekt som överbryggar flera nätverkssegment;
Komponenter;KFE;Switch;elektrisk signalfördelande objekt som vidarebefordrar signaler till specifik utrustning i ett datanät;
Komponenter;KG;Optisk signalbehandlande objekt;signalbehandlande objekt för optiska signaler;
Komponenter;KGA;Optisk omkopplare;optisk signalbehandlande objekt som aktivt vidarebefordrar input till specifika apparater i ett optiskt nätverk;optisk switch
Komponenter;KGB;Optisk router;optisk signalbehandlande objekt som vidarebefordrar datapaket mellan datornätverk;
Komponenter;KGC;Optisk repeater;optisk signalbehandlande objekt som repeterar insignalen som en förbättrad utsignal;optisk förstärkare
Komponenter;KH;Fluidsignalbehandlande objekt;signalbehandlande objekt för flödessignaler;
Komponenter;KHA;Regulator;flödessignalbehandlande objekt för återkopplande kontroll;
Komponenter;KHB;Pilotventil;flödessignalbehandlande objekt som vidareförmedlar signaler;
Komponenter;KJ;Mekanisk signalbehandlande objekt;signalbehandlande objekt för mekaniska signaler;
Komponenter;KJA;Mekanisk regulator;mekanisk signalbehandlande objekt som justerar ett gas- eller vätskeflöde;
Komponenter;KJB;Låscylinder;mekanisk signalbehandlande objekt som låser/låser upp en låsmekanism;
Komponenter;KJC;Kodlås;mekanisk signalbehandlande objekt som åstadkommer ett binärt tillstånd hos en mekanism;handtagskodlås
Komponenter;KZ;Multipel signalfördelande objekt;signalbehandlande objekt av multipla typer av signaler;
Komponenter;KZA;Multiswitch;multipel signalbehandlande objekt som vidarebefordrar input till specifika apparater;
Komponenter;M;Drivande objekt;objekt för tillhandhållande av mekanisk rörelse eller kraft;motor
Komponenter;MA;Elektromagnetiskt rotationsdrivande objekt;drivande objekt genom rotationskraft driven av elektromagnetisk kraft;
Komponenter;MAA;Elmotor;elektromagnetiskt rotationsdrivande objekt som åstadkommer en kontinuerlig rotation;driv, ställdon
Komponenter;MAB;Stegmotor;elektromagnetiskt rotationsdrivande objekt som åstadkommer diskreta rotationssteg;
Komponenter;MB;Elektromagnetiskt linjärt drivande objekt;drivande objekt genom linjär kraft, driven av elektromagnetisk kraft;
Komponenter;MBA;Linjär motor;elektromagnetiskt linjärt drivande objekt som åstadkommer kontinuerlig rörelse;
Komponenter;MBB;Solenoid;elektromagnetiskt linjärt drivande objekt som åstadkommer diskreta linjära steg;aktuator, elektromagnet, växeldriv
Komponenter;MC;Magnetiskt drivande objekt;drivande objekt genom magnetisk kraft;
Komponenter;MCA;Permanentmagnet;magnetiskt drivande objekt genom permanentmagnet;
Komponenter;MD;Piezoelektriskt drivande objekt;drivande objekt genom piezoelektrisk effekt;
Komponenter;MDA;Piezoelektrisk motor;piezoelektriskt drivande objekt genom piezoelektrisk kristall;piezoelektrisk aktuator
Komponenter;ML;Mekaniskt kraftdrivande objekt;drivande objekt genom mekanisk energi;
Komponenter;MLA;Gravitationsdrivare;mekaniskt kraftdrivande objekt genom frisläppande av gravitationsenergi;
Komponenter;MLB;Elastisk drivare;mekaniskt kraftdrivande objekt genom frisläppande av elastisk energi;omläggningsanordning
Komponenter;MLC;Vindturbin;mekaniskt kraftdrivande objekt genom kinetisk energi i blåst;
Komponenter;MLD;Vattenturbin;mekaniskt kraftdrivande objekt genom kinetisk energi i strömmande vatten;
Komponenter;MLE;Gasturbin;mekaniskt kraftdrivande objekt genom kinetisk energi och reaktiv kraft i strömmande och/eller expanderande gas;
Komponenter;MM;Flödesdrivande objekt;drivande objekt genom fluidförflyttning eller fluidtryck;
Komponenter;MMA;Hydraulcylinder;flödesdrivande objekt som åstadkommer rörelse motsvarande en vätskevolym;lyftcylinder
Komponenter;MMB;Pneumatisk cylinder;flödesdrivande objekt som åstadkommer rörelse till ändpositioner beroende på gastryck;
Komponenter;MMC;Hydraulmotor;flödesdrivande objekt som åstadkommer rotation genom en strömmande vätska;
Komponenter;MMD;Pneumatisk motor;flödesdrivande objekt som åstadkommer rotation genom trycksatt gas;
Komponenter;MS;Förbränningsmotor;drivande objekt genom bränsleförbränning;
Komponenter;MSA;Ottomotor;förbränningsmotor med kolvar som kraftsätts av gnistantänd förbränning;tändstiftsmotor
Komponenter;MSB;Dieselmotor;förbränningsmotor med kolvar som kraftsätts av kompressionsantänd förbränning;
Komponenter;MSC;Wankelmotor;förbränningsmotor med excentriskt roterade kolv i en cirkulär omslutning kraftsatt  av gnistantänd förbränning;
Komponenter;MT;Värmemotor;drivande objekt genom extern värmekälla;
Komponenter;MTA;Ångmaskin;värmemotor genom expanderande ånga som verkar på en kolv;ångturbin
Komponenter;MTB;Stirlingmotor;värmemotor genom två kolvar i en cylinder med en upphettad och en kyld del;
Komponenter;N;Täckande objekt;objekt för delvis eller hel omslutning av ett annat objekt;
Komponenter;NA;Öppningsfyllande objekt;täckande objekt som fyller en öppning;
Komponenter;NAA;Glasruta;öppningsfyllande objekt som tillåter ljusgenomsläpp;fönsterruta
